,candidatura,nombre,nombre_completo,numero,partido,siglas,suplente
98,2,Maider, Maider Laínez Lazcoz.,35,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
99,2,Antonio, Antonio Luengo Rodríguez.,36,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
100,2,Diana, Diana Salvadó Artells.,37,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
101,2,Juan, Juan Francisco Rodríguez Sánchez.,38,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
102,2,Maria, María del Cristo Dorta López.,39,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
103,2,Eduard, Eduard Rivas Mateo.,40,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
104,2,Estefania, Estefanía Torres Sánchez.,41,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
105,2,Nicolas, Nicolás González Casares.,42,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
106,2,Naxalli, Naxalli Lozano Hernández.,43,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
107,2,Eduardo, Eduardo Abascal Falces.,44,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
108,2,Carmen, Carmen Espín Quirante.,45,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
109,2,Emilio, Emilio Ivars Ferrer.,46,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
110,2,Angela, Ángela María López Vargas.,47,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
111,2,Santiago, Santiago Ekain Rico Lezama.,48,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
112,2,Maria, María Bella Martín Eugenio.,49,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
113,2,Jose, José Ángel Santoro Estévez.,50,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
114,2,Saray, Saray Soria García.,51,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
115,2,Miquel, Miquel Company Pons.,52,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
116,2,Rosa, Rosa Peñalver Pérez.,53,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
117,2,Miguel, Miguel Ángel Martínez Martínez.,54,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,False
118,2,Estela, Estela Goicoechea Alonso.,1,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,True
119,2,Miguel, Miguel Chover Lara.,2,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,True
120,2,Rosa, Rosa María Orriols Ramos.,3,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,True
121,2,Jose, José Ramón Funes Toyos.,4,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,True
122,2,Miriam, Miriam Ruiz Sanz.,5,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,True
123,2,Oscar, Óscar Pérez Suárez.,6,PARTIDO SOCIALISTA OBRERO ESPAÑOL (PSOE),PSOE,True
124,3,Miguel, Miguel Arias Cañete.,1,PARTIDO POPULAR (P.P.),P.P.,False
125,3,Esteban, Esteban González Pons.,2,PARTIDO POPULAR (P.P.),P.P.,False
126,3,Maria, María Teresa Jiménez Becerril Barrio.,3,PARTIDO POPULAR (P.P.),P.P.,False
127,3,Luis, Luis de Grandes Pascual.,4,PARTIDO POPULAR (P.P.),P.P.,False
128,3,Pilar, Pilar del Castillo Vera.,5,PARTIDO POPULAR (P.P.),P.P.,False
129,3,Ramon, Ramón Luis Valcárcel Siso.,6,PARTIDO POPULAR (P.P.),P.P.,False
130,3,Maria, María Rosa Estarás Ferragut.,7,PARTIDO POPULAR (P.P.),P.P.,False
131,3,Francisco, Francisco José Millán Mon.,8,PARTIDO POPULAR (P.P.),P.P.,False
132,3,Pablo, Pablo Zalba Bidegain.,9,PARTIDO POPULAR (P.P.),P.P.,False
133,3,Veronica, Verónica Lope Fontagne.,10,PARTIDO POPULAR (P.P.),P.P.,False
134,3,Antonio, Antonio López-Istúriz White.,11,PARTIDO POPULAR (P.P.),P.P.,False
135,3,Santiago, Santiago Fisas Ayxela.,12,PARTIDO POPULAR (P.P.),P.P.,False
136,3,Gabriel, Gabriel Mato Adrover.,13,PARTIDO POPULAR (P.P.),P.P.,False
137,3,Maria, María del Pilar Ayuso González.,14,PARTIDO POPULAR (P.P.),P.P.,False
138,3,Maria, María Esther Herranz García.,15,PARTIDO POPULAR (P.P.),P.P.,False
139,3,Agustin, Agustín Díaz de Mera García Consuegra.,16,PARTIDO POPULAR (P.P.),P.P.,False
140,3,Carlos, Carlos Iturgaiz Angulo.,17,PARTIDO POPULAR (P.P.),P.P.,False
141,3,Jose, José Ignacio Salafranca Sánchez-Neyra.,18,PARTIDO POPULAR (P.P.),P.P.,False
142,3,Maria, María Auxiliadora Correa Zamora.,19,PARTIDO POPULAR (P.P.),P.P.,False
143,3,Eva, Eva Ortíz Vilella.,20,PARTIDO POPULAR (P.P.),P.P.,False
144,3,Pablo, Pablo Arias Echeverría.,21,PARTIDO POPULAR (P.P.),P.P.,False
145,3,Salvador, Salvador Garriga Polledo.,22,PARTIDO POPULAR (P.P.),P.P.,False
146,3,Gabino, Gabino Puche Rodríguez-Acosta.,23,PARTIDO POPULAR (P.P.),P.P.,False
147,3,Maria, María Luisa Peón Pérez.,24,PARTIDO POPULAR (P.P.),P.P.,False
148,3,Maria, María del Carmen Pardo López.,25,PARTIDO POPULAR (P.P.),P.P.,False
149,3,Juan, Juan Andrés Naranjo Escobar.,26,PARTIDO POPULAR (P.P.),P.P.,False
150,3,Pablo, Pablo José Venzal Contreras.,27,PARTIDO POPULAR (P.P.),P.P.,False
151,3,Sofia, Sofía Acedo Reyes.,28,PARTIDO POPULAR (P.P.),P.P.,False
152,3,Rocio, Rocío Salcedo López.,29,PARTIDO POPULAR (P.P.),P.P.,False
153,3,Antonio, Antonio Pablo González Terol.,30,PARTIDO POPULAR (P.P.),P.P.,False
154,3,Javier, Javier Fernández Soberón.,31,PARTIDO POPULAR (P.P.),P.P.,False
155,3,Maria, María Roldán García.,32,PARTIDO POPULAR (P.P.),P.P.,False
156,3,Zoe, Zoe Iratxe Nubla Durango.,33,PARTIDO POPULAR (P.P.),P.P.,False
157,3,Francisco, Francisco Javier Bermúdez Carrillo.,34,PARTIDO POPULAR (P.P.),P.P.,False
158,3,Juan, Juan Carlos Caballero Montañés.,35,PARTIDO POPULAR (P.P.),P.P.,False
159,3,Mirian, Mirian Rabaneda Gudiel.,36,PARTIDO POPULAR (P.P.),P.P.,False
160,3,Pedro, Pedro Juan Muriel Tato.,37,PARTIDO POPULAR (P.P.),P.P.,False
161,3,Francisco, Francisco Javier Bravo Fernández.,38,PARTIDO POPULAR (P.P.),P.P.,False
162,3,Andrea, Andrea Levy Soler.,39,PARTIDO POPULAR (P.P.),P.P.,False
163,3,Enrique, Enrique Sánchez-Guijo Acevedo.,40,PARTIDO POPULAR (P.P.),P.P.,False
164,3,Noelia, Noelia Moreno Hernández.,41,PARTIDO POPULAR (P.P.),P.P.,False
165,3,Fernando, Fernando Ledesma Gelas.,42,PARTIDO POPULAR (P.P.),P.P.,False
166,3,Jose, José Luis Torres Gutiérrez.,43,PARTIDO POPULAR (P.P.),P.P.,False
167,3,Marta, Marta Lorenzo Cavero.,44,PARTIDO POPULAR (P.P.),P.P.,False
168,3,Marino, Marino Arranz Boal.,45,PARTIDO POPULAR (P.P.),P.P.,False
169,3,Marius, Marius Ionel Ioan.,46,PARTIDO POPULAR (P.P.),P.P.,False
170,3,Daniel, Daniel Ortíz Espejo.,47,PARTIDO POPULAR (P.P.),P.P.,False
171,3,Irene, Irene Isabel Oliver Montell.,48,PARTIDO POPULAR (P.P.),P.P.,False
172,3,Silvia, Silvia Muñoz Moreno.,49,PARTIDO POPULAR (P.P.),P.P.,False
173,3,Ana, Ana María de Requesens Moll.,50,PARTIDO POPULAR (P.P.),P.P.,False
174,3,Francisco, Francisco de Borja Fanjul Fernández-Pita.,51,PARTIDO POPULAR (P.P.),P.P.,False
175,3,Maria, María Isabel Fernández Pérez.,52,PARTIDO POPULAR (P.P.),P.P.,False
176,3,Carla, Carla Miralles Castella.,53,PARTIDO POPULAR (P.P.),P.P.,False
177,3,Federico, Federico Pozuelo Vidal.,54,PARTIDO POPULAR (P.P.),P.P.,False
178,3,Maria, María Inmaculada Múgica Ustarroz.,1,PARTIDO POPULAR (P.P.),P.P.,True
179,3,Joaquin, Joaquín Calvo Basarán.,2,PARTIDO POPULAR (P.P.),P.P.,True
180,3,Jose, José Ortíz Pintor.,3,PARTIDO POPULAR (P.P.),P.P.,True
181,3,Eloisa, Eloisa Trillo-Figueroa Ávila.,4,PARTIDO POPULAR (P.P.),P.P.,True
182,3,Cristina, Cristina Flora Molina Ciudad.,5,PARTIDO POPULAR (P.P.),P.P.,True
183,4,Ramon, Ramón Tremosa i Balcells (CiU).,1,COALICIÓN POR EUROPA (CEU),CEU,False
184,4,Izaskun, Izaskun Bilbao Barandica (EAJ-PNV).,2,COALICIÓN POR EUROPA (CEU),CEU,False
185,4,Francesc, Francesc de P. Gambús i Millet (CiU).,3,COALICIÓN POR EUROPA (CEU),CEU,False
186,4,Jose, José Javier Morales Febles (CCa-PNC).,4,COALICIÓN POR EUROPA (CEU),CEU,False
187,4,Mireia, Mireia Canals i Botines (CiU).,5,COALICIÓN POR EUROPA (CEU),CEU,False
188,4,Paulo, Paulo Carlos López López (CxG).,6,COALICIÓN POR EUROPA (CEU),CEU,False
189,4,Izaskun, Izaskun Goñi Razquin (EAJ-PNV).,7,COALICIÓN POR EUROPA (CEU),CEU,False
190,4,Monserrat, Monserrat Aymamí i Viadé (CiU).,8,COALICIÓN POR EUROPA (CEU),CEU,False
191,4,David, David Fernando Baso Díaz (CCa-PNC).,9,COALICIÓN POR EUROPA (CEU),CEU,False
192,4,Marta, Marta Canós i Solé (CiU).,10,COALICIÓN POR EUROPA (CEU),CEU,False
193,4,Xabier, Xabier Ezeizabarrena Saenz (EAJ-PNV).,11,COALICIÓN POR EUROPA (CEU),CEU,False
194,4,Luca, Luca Bellizzi i Cerri (CiU).,12,COALICIÓN POR EUROPA (CEU),CEU,False
195,4,Maria, María Beatriz Acosta Guerra (CCa-PNC).,13,COALICIÓN POR EUROPA (CEU),CEU,False
196,4,Olga, Olga Ortiz i Moreno (CiU).,14,COALICIÓN POR EUROPA (CEU),CEU,False
197,4,Oscar, Óscar Carballo Iglesias (CxG).,15,COALICIÓN POR EUROPA (CEU),CEU,False
198,4,Idoia, Idoia Goiri Zamora (EAJ-PNV).,16,COALICIÓN POR EUROPA (CEU),CEU,False
199,4,Carmen, Carmen Dolores Morales Rodríguez (CCa-PNC).,17,COALICIÓN POR EUROPA (CEU),CEU,False
200,4,Gerard, Gerard Vidal i Pallarès (CiU).,18,COALICIÓN POR EUROPA (CEU),CEU,False
201,4,Josep, Josep Maria Llop i Rigol (CiU).,19,COALICIÓN POR EUROPA (CEU),CEU,False
202,4,Jordi, Jordi Agràs i Estalella (CiU).,20,COALICIÓN POR EUROPA (CEU),CEU,False
203,4,Jose, José Carmelo Afonso Ramírez (CCa-PNC).,21,COALICIÓN POR EUROPA (CEU),CEU,False
204,4,Marti, Martí Pujals i Castelló (CiU).,22,COALICIÓN POR EUROPA (CEU),CEU,False
205,4,Inmaculada, Inmaculada López Silva (CxG).,23,COALICIÓN POR EUROPA (CEU),CEU,False
206,4,Joseba, Joseba Koldobika Bilbao Uriarte (EAJ-PNV).,24,COALICIÓN POR EUROPA (CEU),CEU,False
207,4,Lidia, Lídia Aixalà i Coll (CiU).,25,COALICIÓN POR EUROPA (CEU),CEU,False
208,4,Simo, Simó Schwartz i Riera (CiU).,26,COALICIÓN POR EUROPA (CEU),CEU,False
209,4,Adargoma, Adargoma Hernandéz Rodríguez (CCa-PNC).,27,COALICIÓN POR EUROPA (CEU),CEU,False
210,4,Eider, Eider Mendoza Larrañaga (EAJ-PNV).,28,COALICIÓN POR EUROPA (CEU),CEU,False
211,4,Pilar, Pilar Giró i Román (CiU).,29,COALICIÓN POR EUROPA (CEU),CEU,False
212,4,Miguel, Miguel Garay Rodríguez de Mendarozqueta (EAJ-PNV).,30,COALICIÓN POR EUROPA (CEU),CEU,False
213,4,Idoia, Idoia Sagastizabal Unzetabarrenetxea (EAJ-PNV).,31,COALICIÓN POR EUROPA (CEU),CEU,False
214,4,Joan, Joan Pere Gómez i Comes (CiU).,32,COALICIÓN POR EUROPA (CEU),CEU,False
215,4,Teba, Teba Conde Herrezuelo (CxG).,33,COALICIÓN POR EUROPA (CEU),CEU,False
216,4,Francesc, Francesc Sabanés i Serra (CiU).,34,COALICIÓN POR EUROPA (CEU),CEU,False
217,4,Luke, Luke Uribe-Etxebarria Apalategi (EAJ-PNV).,35,COALICIÓN POR EUROPA (CEU),CEU,False
218,4,Xavier, Xavier Giner i Cros (CiU).,36,COALICIÓN POR EUROPA (CEU),CEU,False
219,4,Maria, Maria Victoria de Urresti García (EAJ-PNV).,37,COALICIÓN POR EUROPA (CEU),CEU,False
220,4,Marta, Marta Canales i Portolés (CiU).,38,COALICIÓN POR EUROPA (CEU),CEU,False
221,4,Inaki, Iñaki Agirre Arizmendi (EAJ-PNV).,39,COALICIÓN POR EUROPA (CEU),CEU,False
222,4,Estefania, Estefania Serrano i Agudo (CiU).,40,COALICIÓN POR EUROPA (CEU),CEU,False
223,4,Pere, Pere Morán i Ortigosa (CiU).,41,COALICIÓN POR EUROPA (CEU),CEU,False
224,4,Susana, Susana Rivero i Baughman (CiU).,42,COALICIÓN POR EUROPA (CEU),CEU,False
225,4,Diana, Diana González García (EAJ-PNV).,43,COALICIÓN POR EUROPA (CEU),CEU,False
226,4,Victor, Victor Andrés Álvarez Arias (CxG).,44,COALICIÓN POR EUROPA (CEU),CEU,False
227,4,Nahikari, Nahikari Otermin Soroa (EAJ-PNV).,45,COALICIÓN POR EUROPA (CEU),CEU,False
228,4,Andres, Andrés Nuñez Rajoy (CxG).,46,COALICIÓN POR EUROPA (CEU),CEU,False
229,4,Joseba, Joseba Iñaki Arregi Orue (EAJ-PNV).,47,COALICIÓN POR EUROPA (CEU),CEU,False
230,4,Susana, Susana Cano i Olmos (CiU).,48,COALICIÓN POR EUROPA (CEU),CEU,False
231,4,Aitor, Aitor Ibarra Herrero (EAJ-PNV).,49,COALICIÓN POR EUROPA (CEU),CEU,False
232,4,Roser, Roser Capdevila i Saureu (CiU).,50,COALICIÓN POR EUROPA (CEU),CEU,False
233,4,Abraham, Abraham Darias Barroso (CCa-PNC).,51,COALICIÓN POR EUROPA (CEU),CEU,False
234,4,Attissa, Attissa Tirma Jimeno i Sánchez (CiU).,52,COALICIÓN POR EUROPA (CEU),CEU,False
235,4,Miren, Miren Martiarena Barkaiztegi (EAJ-PNV).,53,COALICIÓN POR EUROPA (CEU),CEU,False
236,4,Marc, Marc Guerrero i Tarragó (CiU).,54,COALICIÓN POR EUROPA (CEU),CEU,False
237,4,Josep, Josep Palau i Castells (CiU).,1,COALICIÓN POR EUROPA (CEU),CEU,True
238,4,Maixabel, Maixabel Azpillaga Aranbarri (EAJ-PNV).,2,COALICIÓN POR EUROPA (CEU),CEU,True
239,4,Jordi, Jordi Barón i Escriche (CiU).,3,COALICIÓN POR EUROPA (CEU),CEU,True
240,4,Alexander, Alexander Zapirain Gorostegi (EAJ-PNV).,4,COALICIÓN POR EUROPA (CEU),CEU,True
241,4,Maria, Maria Xosé Alfonso Torres (CxG).,5,COALICIÓN POR EUROPA (CEU),CEU,True
242,4,Amaia, Amaia Arrizabalaga Idiakez (EAJ-PNV).,6,COALICIÓN POR EUROPA (CEU),CEU,True
243,4,Marcel, Marcel Sayol i Quadres (CiU).,7,COALICIÓN POR EUROPA (CEU),CEU,True
