,name,name_decoded,gender
415,Dailos,Dailos,-1.0
416,Favio,Favio,-1.0
417,Angela,Angela,1.0
418,Raul,Raul,-1.0
419,Álvaro,Alvaro,-1.0
420,Casildo,Casildo,-1.0
421,Bautista,Bautista,-1.0
422,Lucia,Lucia,1.0
423,Jesus,Jesus,-1.0
424,Soraya,Soraya,1.0
425,Pura,Pura,1.0
426,Agustina,Agustina,1.0
427,Victoriano,Victoriano,-1.0
428,Estanislao,Estanislao,-1.0
429,Hermengildo,Hermengildo,-1.0
430,Genoveva,Genoveva,1.0
431,Fulgencio,Fulgencio,-1.0
432,Eduarda,Eduarda,1.0
433,Félix,Felix,-1.0
434,Gema,Gema,1.0
435,Cariño,Carino,1.0
436,Joaquina,Joaquina,1.0
437,Segundo,Segundo,-1.0
438,Alessi,Alessi,1.0
439,Felipe,Felipe,-1.0
440,Evaristo,Evaristo,-1.0
441,Julia,Julia,1.0
442,Tania,Tania,1.0
443,Gaspar,Gaspar,-1.0
444,Victoria,Victoria,1.0
445,Áxel,Axel,-1.0
446,Guillerma,Guillerma,1.0
447,Maravilla,Maravilla,1.0
448,Henar,Henar,1.0
449,Marco,Marco,-1.0
450,Mariona,Mariona,1.0
451,Marcela,Marcela,1.0
452,Mustafa,Mustafa,-1.0
453,Aroa,Aroa,1.0
454,Doroteo,Doroteo,-1.0
455,Nazaret,Nazaret,1.0
456,Irina,Irina,1.0
457,Nerea,Nerea,1.0
458,Sylvia,Sylvia,1.0
459,Christian,Christian,-1.0
460,Catalina,Catalina,1.0
461,Adrian,Adrian,-1.0
462,Izascun,Izascun,1.0
463,Oliver,Oliver,-1.0
464,Maila,Maila,1.0
465,Abel,Abel,-1.0
466,Lloic,Lloic,-1.0
467,Eugenia,Eugenia,1.0
468,Zuriñe,Zurine,1.0
469,Amelia,Amelia,1.0
470,Itxaso,Itxaso,1.0
471,Ares,Ares,-1.0
472,Cecilia,Cecilia,1.0
473,Maitane,Maitane,1.0
474,Jessica,Jessica,1.0
475,Ainara,Ainara,1.0
476,Amparo,Amparo,1.0
477,Cristian,Cristian,-1.0
478,Enós,Enos,-1.0
479,Amado,Amado,-1.0
480,Ernesto,Ernesto,-1.0
481,Bernardo,Bernardo,-1.0
482,Tanit,Tanit,1.0
483,Isaac,Isaac,-1.0
484,Iolanda,Iolanda,1.0
485,Constantino,Constantino,-1.0
486,Noemi,Noemi,1.0
487,Xoán,Xoan,-1.0
488,Alexandre,Alexandre,-1.0
489,Magdalena,Magdalena,1.0
490,Hugo,Hugo,-1.0
